grau_medio,grau_var,path_length_medio,path_length_var,clustering_medio,clustering_var,betweenness_medio,betweenness_var,eigenvector_medio,eigenvector_var,id_pai,tipo,algoritmo,numero_amostra,tam_amostra,tam_rede_original,proporcao_amostra
1.96,0.03840000000000001,17.0,136.0,0.0,0.0,0.33333333333333337,0.02505668934240363,0.12858269321644344,0.003466491005205997,1,ER,RW,1,50,500,0.1
2.493333333333333,1.0499555555555555,6.331901565995525,4.988454325881217,0.0,0.0,0.036026361932402204,0.001523585682312296,0.055220205208410436,0.0036173956034077077,1,ER,RW,1,150,500,0.3
2.776,1.8378240000000001,5.926425702811245,3.4917113207851482,0.0012,0.00014522666666666665,0.01986461976940018,0.0004735906938045594,0.040821542662628066,0.002333601654643236,1,ER,RW,1,250,500,0.5
3.4,3.36,4.853033155955792,1.6943565388106292,0.006704866562009419,0.0033018912460044993,0.011071934356194801,0.00017214842165830604,0.03746555912707141,0.0014534747364387732,1,ER,RW,1,350,500,0.7
1.96,0.03840000000000001,17.0,136.0,0.0,0.0,0.33333333333333337,0.02505668934240363,0.12858269321644344,0.003466491005205997,1,ER,RW,2,50,500,0.1
2.3066666666666666,0.6392888888888888,8.265324384787473,10.503831158756613,0.0033333333333333335,0.0005444444444444443,0.04909002962694237,0.0022652364350479663,0.04885780558799156,0.004279581499792687,1,ER,RW,2,150,500,0.3
2.712,1.501056,6.219726907630522,3.9156397647779873,0.013342857142857144,0.008640403537414965,0.021047285917865005,0.0006138296355922087,0.035503881597763916,0.00273947439149196,1,ER,RW,2,250,500,0.5
3.2857142857142856,2.7526530612244895,5.104396234138354,1.9608083440218396,0.007791383219954649,0.0034495812135889883,0.011794242052121708,0.0001558886221313019,0.03989439788890799,0.001265579874224351,1,ER,RW,2,350,500,0.7
2.0,0.12,11.14530612244898,44.55684531445231,0.0,0.0,0.21136054421768707,0.017918117451062057,0.07382255254442423,0.014550230735825726,1,ER,RW,3,50,500,0.1
2.3466666666666667,0.7731555555555554,7.790872483221476,8.087361878594058,0.0,0.0,0.04588427353528025,0.0018553831912685114,0.03700760302970412,0.005297103984662499,1,ER,RW,3,150,500,0.3
2.672,1.6524159999999997,6.196819277108434,3.699736067740843,0.005333333333333333,0.004193777777777778,0.02095491643995336,0.0006271461586418404,0.037143331014911025,0.0026203729611167484,1,ER,RW,3,250,500,0.5
3.382857142857143,3.339134693877551,4.931297584936553,1.8004375712876588,0.012082044939187794,0.00879103576414293,0.01129683214062228,0.00018382921803160264,0.03705858405679546,0.0014838042048482822,1,ER,RW,3,350,500,0.7
2.04,0.19839999999999997,9.157551020408164,26.545789920866305,0.0,0.0,0.16994897959183672,0.012470578231292512,0.0994759789031564,0.010104529621258782,1,ER,RW,4,50,500,0.1
2.32,0.7909333333333334,7.614228187919463,9.430687938981729,0.0,0.0,0.044690730999455835,0.002642384558995193,0.04898605335394321,0.004267033243471295,1,ER,RW,4,150,500,0.3
2.72,1.8095999999999999,6.024385542168675,4.065879240915469,0.0,0.0,0.02025961912164788,0.0006321609948634886,0.042157297529416396,0.0022227622650162625,1,ER,RW,4,250,500,0.5
3.3314285714285714,3.238726530612245,5.006925910765452,1.9349008651616244,0.007505875077303649,0.0033307932916687225,0.011514154915992678,0.00019128941925134008,0.040948903381706626,0.001180330168978512,1,ER,RW,4,350,500,0.7
2.0,0.12,16.421224489795918,126.57195768429821,0.0,0.0,0.3212755102040816,0.030203783435142767,0.0596566427272774,0.016441084978509976,1,ER,RW,5,50,500,0.1
2.2533333333333334,0.5891555555555554,9.304787472035795,15.35981153201307,0.0,0.0,0.05611342886510672,0.00243789184172839,0.038117429944446536,0.005213728201096877,1,ER,RW,5,150,500,0.3
2.688,1.5026559999999998,6.3158232931726905,3.9185046434734923,0.009742857142857143,0.008150178775510202,0.021434771343438266,0.00060164182223828,0.03839210454848599,0.0025260463083381203,1,ER,RW,5,250,500,0.5
3.394285714285714,3.193110204081633,4.9189357347523535,1.72718216656175,0.01989837146980004,0.014623136357750813,0.011261309582621703,0.00016167377899552727,0.040229983070973536,0.00123869131925204,1,ER,RW,5,350,500,0.7
2.12,0.3456,7.483265306122449,13.275026072469805,0.0,0.0,0.13506802721088432,0.010661323406913788,0.09536321491074563,0.010905857241886944,1,ER,RW,6,50,500,0.1
2.2266666666666666,0.548622222222222,9.041073825503355,13.712764842424514,0.0,0.0,0.054331579902049704,0.003429976951277978,0.03616010524866591,0.005359113455072072,1,ER,RW,6,150,500,0.3
2.688,1.5986559999999999,6.2166104417670685,4.116871081176111,0.004933333333333334,0.004104551111111111,0.0210347195232543,0.0006963475933383503,0.03820675229964862,0.002540244078713296,1,ER,RW,6,250,500,0.5
3.2914285714285714,3.1150693877551014,5.053131395824805,1.9071074682038236,0.007505668934240363,0.0034380787840457426,0.01164692929834714,0.00018486334591357134,0.0397019817362894,0.001280895503354199,1,ER,RW,6,350,500,0.7
2.0,0.12,15.980408163265306,119.55226922115786,0.0,0.0,0.3120918367346939,0.03231082795363043,0.06418060540004164,0.015880849890484147,1,ER,RW,7,50,500,0.1
2.4,0.7333333333333335,7.316062639821029,7.9638180542418,0.0,0.0,0.042676098917709654,0.0020083537808619446,0.04946049829561532,0.004220325775016099,1,ER,RW,7,150,500,0.3
2.784,1.809344,5.972947791164659,4.058384643860583,0.0016,0.00023743999999999998,0.020052208835341364,0.0005713907875011839,0.04013378925831331,0.0023892789597692943,1,ER,RW,7,250,500,0.5
