i,graph_type,g_n,g_p_er,g_m_ba,g_k_ws,g_p_ws,graph_object,grau_medio,grau_var,path_length_medio,path_length_var,clustering_medio,clustering_var,betweenness_medio,betweenness_var,eigenvector_medio,eigenvector_var
14,BA,500,,3.0,,,Graph with 500 nodes and 1491 edges,5.964,36.718703999999995,3.26064128256513,0.5323306508809202,0.04658175150846376,0.012005160409108871,0.004539440326436004,0.00016976884048655095,0.030474824419514848,0.0010712850765997415
15,WS,500,,,6.0,0.2,Graph with 500 nodes and 1500 edges,6.0,0.916,4.623831663326653,1.3113310498190773,0.3320190476190476,0.023231376709498607,0.0072767704082864525,2.904541890412542e-05,0.042677219151611455,0.00017865496548532877
16,ER,1000,0.2,,,,Graph with 1000 nodes and 99853 edges,199.706,163.377564,1.8000940940940942,0.15994353468984496,0.1998282384207342,7.74467691898199e-06,0.0008016974890722382,1.0564653819668516e-08,0.03155720347105467,4.142909086455085e-06
17,BA,1000,,3.0,,,Graph with 1000 nodes and 2991 edges,5.982,45.173676,3.5095815815815814,0.5338921772783793,0.027121341752489928,0.006710710715371141,0.002514610803187957,6.950739438733674e-05,0.019930456974733588,0.0006027768847782935
18,WS,1000,,,6.0,0.2,Graph with 1000 nodes and 3000 edges,6.0,0.988,5.198830830830831,1.3976114458562674,0.33877380952380953,0.026557462821239608,0.004207245321473777,9.764299796477655e-06,0.030352825097003083,7.870600863073965e-05
19,ER,1000,0.2,,,,Graph with 1000 nodes and 99517 edges,199.034,147.66084400000003,1.8007667667667668,0.15953935200866542,0.19894346021122697,8.370963907622756e-06,0.0008023715097863391,9.628459748770568e-09,0.031563163538703407,3.7667074290638917e-06
20,BA,1000,,3.0,,,Graph with 1000 nodes and 2991 edges,5.982,52.00567600000001,3.460976976976977,0.5241608873578285,0.0342684963985174,0.008673222696103369,0.0024659087945661093,9.366055341827133e-05,0.01936358480477243,0.0006250515835083863
21,WS,1000,,,6.0,0.2,Graph with 1000 nodes and 3000 edges,6.0,1.054,5.0724964964964965,1.2464199336714088,0.30092539682539676,0.02391575613756614,0.004080657812120738,7.3365191864507265e-06,0.03003008804591416,9.81938119546435e-05
22,ER,1000,0.2,,,,Graph with 1000 nodes and 99568 edges,199.136,163.211504,1.8006646646646647,0.15960075942208482,0.19939791247053856,7.886469991801964e-06,0.0008022692030708058,1.0802497193272111e-08,0.031557570122607445,4.1197679567135864e-06
23,BA,1000,,3.0,,,Graph with 1000 nodes and 2991 edges,5.982,60.81967600000001,3.418238238238238,0.5228665658651647,0.041983635990088045,0.010910154178322527,0.0024230844070523426,0.00011443580020772839,0.01862732223495594,0.0006530228663551161
24,WS,1000,,,6.0,0.2,Graph with 1000 nodes and 3000 edges,6.0,1.028,5.141913913913914,1.3136101907873843,0.3188539682539682,0.023252514779541444,0.004150214342599112,7.953083377007255e-06,0.029365758506641804,0.00013765222732959454
25,ER,1000,0.2,,,,Graph with 1000 nodes and 99538 edges,199.076,158.94222399999998,1.8007247247247247,0.15956463993923864,0.1993050916227212,7.675335958770367e-06,0.0008023293834917077,1.0572859418972289e-08,0.03155938242371976,4.005381033408301e-06
26,BA,1000,,3.0,,,Graph with 1000 nodes and 2991 edges,5.982,51.971675999999995,3.4735955955955955,0.5375950997203406,0.034577388755572716,0.009083969631885113,0.0024785527009975913,8.260472324232733e-05,0.019932458361181977,0.0006026971036797467
27,WS,1000,,,6.0,0.2,Graph with 1000 nodes and 3000 edges,6.0,1.088,5.096494494494494,1.3002283520717912,0.3103896825396826,0.023903588258377427,0.004104703902299092,9.422025645181607e-06,0.02985777825675179,0.00010851307757063994
28,ER,1000,0.2,,,,Graph with 1000 nodes and 99459 edges,198.918,157.33527600000002,1.800882882882883,0.1594694907880854,0.1990231866425755,7.464869850349002e-06,0.0008024878586000826,1.0407048674646544e-08,0.03155984112300683,3.976428290566991e-06
29,BA,1000,,3.0,,,Graph with 1000 nodes and 2991 edges,5.982,61.363676000000005,3.414018018018018,0.5173538455211969,0.037359453546748696,0.008766663025966704,0.0024188557294769716,0.0001201874117933872,0.01879409889744434,0.0006467818466330816
30,WS,1000,,,6.0,0.2,Graph with 1000 nodes and 3000 edges,6.0,1.058,5.116296296296296,1.2842329292255212,0.3166111111111111,0.023525164462081128,0.004124545387070438,7.994187667546622e-06,0.029710298117880014,0.00011729818574669518
31,ER,1500,0.2,,,,Graph with 1500 nodes and 224696 edges,299.5946666666667,232.87570488888886,1.8001369802090283,0.15991779311100537,0.19977027714357223,3.3170184137952245e-06,0.000534136835920579,2.9468670896500842e-09,0.02578593282735667,1.7523348897162711e-06
32,BA,1500,,3.0,,,Graph with 1500 nodes and 4491 edges,5.988,62.40518933333334,3.5885123415610405,0.5338907154914483,0.026322698024617352,0.006545786108755382,0.0017279788661956213,7.197863116816397e-05,0.014222133719762501,0.00046439757912386114
33,WS,1500,,,6.0,0.2,Graph with 1500 nodes and 4500 edges,6.0,1.1013333333333333,5.424046253057594,1.2859103701088197,0.3144216931216931,0.024095227583494302,0.002953301904577833,4.203938610125769e-06,0.02459212424627718,6.189409172233281e-05
34,ER,1500,0.2,,,,Graph with 1500 nodes and 224697 edges,299.596,221.8021173333333,1.8001360907271515,0.15991832704302314,0.19967760802685,3.3388227181948038e-06,0.000534136242140955,2.8431517559898284e-09,0.02578787009426634,1.6524226679101774e-06
35,BA,1500,,3.0,,,Graph with 1500 nodes and 4491 edges,5.988,48.982522666666675,3.675903046475428,0.5524127991390403,0.022456694397564425,0.005485101269145114,0.0017863171204775888,5.276749261048256e-05,0.014160651910499051,0.0004661426041363461
36,WS,1500,,,6.0,0.2,Graph with 1500 nodes and 4500 edges,6.0,1.1706666666666667,5.348026684456304,1.2226257035352164,0.303989417989418,0.02246749094370258,0.0029025545290095483,4.648755838192738e-06,0.024464581642053968,6.81509117459427e-05
37,ER,1500,0.2,,,,Graph with 1500 nodes and 225110 edges,300.14666666666665,225.94515555555554,1.7997687347120301,0.16013870568914854,0.20029011134659339,3.4435110282874206e-06,0.0005338910111562278,2.8924800214217576e-09,0.025787371854769186,1.6781194905248426e-06
38,BA,1500,,3.0,,,Graph with 1500 nodes and 4491 edges,5.988,65.89852266666665,3.5776677785190127,0.5337217744409845,0.0280156780057876,0.007449749112447056,0.001720739505019367,9.864254878646127e-05,0.013361791207806728,0.00048812920238564537
39,WS,1500,,,6.0,0.2,Graph with 1500 nodes and 4500 edges,6.0,0.996,5.520894818768068,1.3569541114630375,0.3292825396825397,0.023627167118501723,0.003017953817602181,4.578260046369428e-06,0.024428777482221213,6.990149739078875e-05
40,ER,1500,0.2,,,,Graph with 1500 nodes and 224080 edges,298.7733333333333,247.2112888888889,1.8006849010451411,0.15958859028347366,0.199503353114831,3.3661797956945223e-06,0.0005345026041689854,3.1987659382479663e-09,0.025784023561602594,1.850795641388775e-06
41,BA,1500,,3.0,,,Graph with 1500 nodes and 4491 edges,5.988,54.10918933333333,3.6337140315766066,0.5388708357226164,0.024730172304277584,0.00595339801915715,0.0017581535591299105,5.272612449455578e-05,0.015112325457310187,0.0004382842859390011
42,WS,1500,,,6.0,0.2,Graph with 1500 nodes and 4500 edges,6.0,1.0866666666666667,5.445738937069157,1.3015027016927105,0.3149740740740741,0.022978935331877608,0.0029677830020488367,4.526345898068434e-06,0.024327885207646026,7.48206679902642e-05
43,ER,1500,0.2,,,,Graph with 1500 nodes and 224933 edges,299.91066666666666,251.12801955555557,1.799926173004225,0.1600442907470397,0.20012997187230014,3.39649601894107e-06,0.0005339961101496824,3.20402746068067e-09,0.02578376749765639,1.864000293464634e-06
44,BA,1500,,3.0,,,Graph with 1500 nodes and 4491 edges,5.988,49.98785600000001,3.657279074938848,0.5406611133557822,0.02057209808461681,0.004620628809437314,0.001773884562709512,5.34491968593718e-05,0.014916829036615082,0.0004441548781590638
45,WS,1500,,,6.0,0.2,Graph with 1500 nodes and 4500 edges,6.0,1.112,5.440476762285968,1.3064845581102205,0.319121164021164,0.02447914929005347,0.002964270201793036,4.3945979972489435e-06,0.02472305751184376,5.5437093932732237e-05
46,ER,2000,0.2,,,,Graph with 2000 nodes and 399286 edges,399.286,316.680204,1.800257128564282,0.15984565674633222,0.1996502824082197,1.8891685290068253e-06,0.0004005290933755166,1.281077605633049e-09,0.022338380394437,9.967613534326456e-07
47,BA,2000,,3.0,,,Graph with 2000 nodes and 5991 edges,5.991,58.56091899999998,3.723633816908454,0.5386272355947859,0.020248919587110618,0.004931965666392637,0.0013631800885427698,4.237587031763347e-05,0.012319302923921483,0.0003482347754686595
48,WS,2000,,,6.0,0.2,Graph with 2000 nodes and 6000 edges,6.0,1.137,5.68156228114057,1.3099055732846416,0.31945000000000007,0.024329220805618543,0.0023431242648351207,2.978102043921466e-06,0.02114855027730507,5.273882116829958e-05
49,ER,2000,0.2,,,,Graph with 2000 nodes and 399104 edges,399.104,316.683184,1.8003481740870435,0.15979097432257913,0.19959187458797717,1.8815582701443149e-06,0.0004005746617052269,1.2833947477342472e-09,0.02233832777011517,9.991124349014092e-07
50,BA,2000,,3.0,,,Graph with 2000 nodes and 5991 edges,5.991,61.053918999999986,3.704167083541771,0.5354323602771869,0.02067026399641257,0.0052047225959052845,0.0013534369787496345,4.187391894421731e-05,0.012283299071682477,0.0003491205639156044
51,WS,2000,,,6.0,0.2,Graph with 2000 nodes and 6000 edges,6.0,1.113,5.641224112056028,1.2795845145561782,0.31308481240981245,0.024424927965075147,0.0023229349910190334,2.7969915640542706e-06,0.021039976215739366,5.7319400841121896e-05
52,ER,2000,0.2,,,,Graph with 2000 nodes and 399837 edges,399.837,308.605431,1.7999814907453726,0.16001110521018408,0.19996114201388837,1.9436485606102113e-06,0.00040039113650919544,1.242754251742447e-09,0.02233902002423287,9.68184356922792e-07
53,BA,2000,,3.0,,,Graph with 2000 nodes and 5991 edges,5.991,57.06891899999999,3.734136068034017,0.5421587908901925,0.020433861295333863,0.00480455119838774,0.0013684364704874958,3.862977440121344e-05,0.012393680844287146,0.00034639667512995
54,WS,2000,,,6.0,0.2,Graph with 2000 nodes and 6000 edges,6.0,1.108,5.643657328664332,1.2997937875288306,0.3132162698412699,0.025556210470993955,0.0023241528171493156,2.7786309229777353e-06,0.02114729030024946,5.279211295697509e-05
55,ER,2000,0.2,,,,Graph with 2000 nodes and 399732 edges,399.732,321.114176,1.8000340170085043,0.1599795886377405,0.19998461731315184,1.8518675970896634e-06,0.0004004174259301822,1.2896561093857172e-09,0.022338111316346613,1.0087828185074675e-06
